date,resortID,blockLevel
2017-05-20,80008297,3
2017-05-21,80008297,1
2017-05-22,80008297,-1
2017-05-23,80008297,-1
2017-05-24,80008297,-1
2017-05-25,80008297,-1
2017-05-26,80008297,3
2017-05-27,80008297,3
2017-05-28,80008297,3
2017-05-29,80008297,1
2017-05-30,80008297,-1
2017-05-31,80008297,-1
2017-06-01,80008297,-1
2017-06-02,80008297,1
2017-06-03,80008297,3
2017-06-04,80008297,1
2017-06-05,80008297,-1
2017-06-06,80008297,-1
2017-06-07,80008297,-1
2017-06-08,80008297,-1
2017-06-09,80008297,2
2017-06-10,80008297,3
2017-06-11,80008297,1
2017-06-12,80008297,1
2017-06-13,80008297,1
2017-06-14,80008297,1
2017-06-15,80008297,1
2017-06-16,80008297,2
2017-06-17,80008297,3
2017-06-18,80008297,1
2017-06-19,80008297,1
2017-06-20,80008297,1
2017-06-21,80008297,2
2017-06-22,80008297,2
2017-06-23,80008297,2
2017-06-24,80008297,3
2017-06-25,80008297,1
2017-06-26,80008297,1
2017-06-27,80008297,1
2017-06-28,80008297,1
2017-06-29,80008297,1
2017-06-30,80008297,2
2017-07-01,80008297,3
2017-07-02,80008297,3
2017-07-03,80008297,2
2017-07-04,80008297,2
2017-07-05,80008297,2
2017-07-06,80008297,2
2017-07-07,80008297,2
2017-07-08,80008297,3
2017-07-09,80008297,2
2017-07-10,80008297,2
2017-07-11,80008297,2
2017-07-12,80008297,2
2017-07-13,80008297,2
2017-07-14,80008297,2
2017-07-15,80008297,3
2017-07-16,80008297,2
2017-07-17,80008297,2
2017-07-18,80008297,2
2017-07-19,80008297,2
2017-07-20,80008297,2
2017-07-21,80008297,2
2017-07-22,80008297,3
2017-07-23,80008297,2
2017-07-24,80008297,2
2017-07-25,80008297,2
2017-07-26,80008297,2
2017-07-27,80008297,2
2017-07-28,80008297,2
2017-07-29,80008297,3
2017-07-30,80008297,2
2017-07-31,80008297,2
2017-08-01,80008297,2
2017-08-02,80008297,2
2017-08-03,80008297,2
2017-08-04,80008297,2
2017-08-05,80008297,3
2017-08-06,80008297,2
2017-08-07,80008297,2
2017-08-08,80008297,2
2017-08-09,80008297,2
2017-08-10,80008297,2
2017-08-11,80008297,2
2017-08-12,80008297,3
2017-08-13,80008297,2
2017-08-14,80008297,2
2017-08-15,80008297,2
2017-08-16,80008297,2
2017-08-17,80008297,2
2017-08-18,80008297,2
2017-08-19,80008297,2
2017-08-20,80008297,2
2017-08-21,80008297,-1
2017-08-22,80008297,-1
2017-08-23,80008297,-1
2017-08-24,80008297,-1
2017-08-25,80008297,1
2017-08-26,80008297,2
2017-08-27,80008297,1
2017-08-28,80008297,-1
2017-08-29,80008297,-1
2017-08-30,80008297,-1
2017-08-31,80008297,-1
2017-09-01,80008297,-1
2017-09-02,80008297,3
2017-09-03,80008297,3
2017-09-04,80008297,-1
2017-09-05,80008297,-1
2017-09-06,80008297,-1
2017-09-07,80008297,-1
2017-09-08,80008297,-1
2017-09-09,80008297,2
2017-09-10,80008297,1
2017-09-11,80008297,-1
2017-09-12,80008297,-1
2017-09-13,80008297,-1
2017-09-14,80008297,-1
2017-09-15,80008297,-1
2017-09-16,80008297,2
2017-09-17,80008297,1
2017-09-18,80008297,-1
2017-09-19,80008297,-1
2017-09-20,80008297,-1
2017-09-21,80008297,-1
2017-09-22,80008297,-1
2017-09-23,80008297,2
2017-09-24,80008297,1
2017-09-25,80008297,-1
2017-09-26,80008297,-1
2017-09-27,80008297,-1
2017-09-28,80008297,-1
2017-09-29,80008297,-1
2017-09-30,80008297,2
2017-10-01,80008297,1
2017-10-02,80008297,-1
2017-10-03,80008297,-1
2017-10-04,80008297,-1
2017-10-05,80008297,-1
2017-10-06,80008297,-1
2017-10-07,80008297,2
2017-10-08,80008297,1
2017-10-09,80008297,-1
2017-10-10,80008297,-1
